"date","champaign","salem","ithaca"
2020-11-30,31.82,29.8325,43.3475
2020-12-01,24.605,27.11,38.015
2020-12-02,28.1225,34.8125,31.085
2020-12-03,32.51,38.6,31.565
2020-12-04,34.31,41.0225,41.6225
2020-12-05,30.3425,38.0525,34.8875
2020-12-06,32.5175,38.45,26.8025
2020-12-07,34.2725,35.765,25.7525
2020-12-08,33.455,33.305,24.995
2020-12-09,39.59,49.7075,30.065
2020-12-10,41.3,48.1475,34.745
2020-12-11,44.4125,50.645,37.5575
2020-12-12,43.6625,38.66,42.035
2020-12-13,34.1825,33.7925,42.26
2020-12-14,29.045,28.8575,31.8275
2020-12-15,26.5175,26.2175,23.78
2020-12-16,28.1375,26.96,18.6275
2020-12-17,29.0225,29.375,19.28
2020-12-18,29.03,35.27,17.21
2020-12-19,38.7275,42.7025,11.525
2020-12-20,34.775,36.815,28.0325
2020-12-21,39.7325,45.7025,33.4325
2020-12-22,34.58,41.3825,33.035
2020-12-23,45.8075,47.8025,NA
2020-12-24,17.6975,21.3875,41.57
2020-12-25,12.68,17.9225,33.8675
2020-12-26,24.995,39.545,20.24
2020-12-27,37.115,46.3175,25.325
2020-12-28,27.935,35.1725,33.305
2020-12-29,26.03,31.7675,24.65
2020-12-30,33.7925,37.28,27.29
2020-12-31,25.34,27.41,32.435
2021-01-01,30.98,31.22,30.14
2021-01-02,32.1875,29.9975,33.4775
2021-01-03,28.67,31.985,30.38
2021-01-04,23.51,38.03,31.535
2021-01-05,29.915,35.18,30.56
2021-01-06,30.98,40.28,29.06
2021-01-07,33.1025,33.9875,26.0075
2021-01-08,31.8425,31.085,21.23
2021-01-09,28.835,29.2325,21.35
2021-01-10,25.6175,26.015,23.3375
2021-01-11,24.905,24.695,26.84
2021-01-12,28.595,36.2675,29.1725
2021-01-13,34.925,39.605,29.1725
2021-01-14,35.735,38.795,31.685
2021-01-15,32.555,31.205,34.535
2021-01-16,31.3625,31.7,31.985
2021-01-17,29.33,32.7275,32.66
2021-01-18,30.08,34.775,29.105
2021-01-19,29.2025,33.8375,29.735
2021-01-20,26.5325,35.1425,22.52
2021-01-21,35.3075,40.085,24.755
2021-01-22,23.6075,32.945,29.4725
2021-01-23,21.26,30.3425,17.6825
2021-01-24,32.4425,38.015,13.445
2021-01-25,31.07,41.4125,12.26
2021-01-26,31.1,36.05,24.68
2021-01-27,25.6325,28.085,25.0475
2021-01-28,17.6,28.1525,15.635
2021-01-29,23.4725,33.92,9.86
2021-01-30,31.565,41.1425,12.185
2021-01-31,32.9225,35.5775,12.68
2021-02-01,27.8225,29.6,22.0325
2021-02-02,24.5225,29.12,21.0275
