date,maxtemp,mintemp,atobstemp,avgtemp,avgtempdiff,precip,snow,snowdepth
2017-01-01,38,25,31,31.5,7.3,Trace,Trace,1
2017-01-02,40,21,30,30.5,6.4,0,0,1
2017-01-03,37,22,35,29.5,5.6,0.09,0,Trace
2017-01-04,41,35,40,38,14.2,0.37,0,0
2017-01-05,40,17,18,28.5,4.8,0.01,0.4,Trace
2017-01-06,25,11,12,18,-5.6,0.03,1,1
2017-01-07,18,3,4,10.5,-13,0,0,1
2017-01-08,21,4,8,12.5,-10.9,0,0,1
2017-01-09,17,1,6,9,-14.3,Trace,0.2,Trace
2017-01-10,20,6,18,13,-10.3,0,0,Trace
2017-01-11,39,18,39,28.5,5.3,0.06,0.5,1
2017-01-12,48,39,47,43.5,20.3,0.02,0,0
2017-01-13,51,29,29,40,16.9,0.43,0,0
2017-01-14,29,18,19,23.5,0.4,Trace,Trace,Trace
2017-01-15,28,17,25,22.5,-0.6,0,0,0
2017-01-16,28,12,19,20,-3,0,0,0
2017-01-17,42,19,34,30.5,7.5,0,0,0
2017-01-18,38,34,37,36,13,0.43,0,0
2017-01-19,39,33,33,36,13,0.05,0,0
2017-01-20,36,32,33,34,10.9,0.01,0,0
2017-01-21,40,33,40,36.5,13.4,Trace,0,0
2017-01-22,54,36,36,45,21.9,0,0,0
2017-01-23,58,36,40,47,23.9,0,0,0
2017-01-24,40,29,29,34.5,11.3,0.91,3.6,4
2017-01-25,31,27,30,29,5.8,0.18,2.4,6
2017-01-26,40,30,39,35,11.7,0,0,3
2017-01-27,40,32,32,36,12.7,0.02,Trace,1
2017-01-28,33,27,28,30,6.6,0.01,0.2,Trace
2017-01-29,29,27,28,28,4.6,0.01,0.1,Trace
2017-01-30,31,15,19,23,-0.5,0.01,0.5,1
2017-01-31,23,7,17,15,-8.6,Trace,Trace,1
2017-02-01,33,17,32,25,1.4,0.05,0.6,2
2017-02-02,37,22,26,29.5,5.8,Trace,Trace,2
2017-02-03,29,17,17,23,-0.8,0.04,0.8,3
2017-02-04,22,12,12,17,-6.9,Trace,Trace,2
2017-02-05,28,12,27,20,-4,0,0,1
2017-02-06,34,22,22,28,3.9,Trace,Trace,1
2017-02-07,37,22,31,29.5,5.3,Trace,0,1
2017-02-08,51,31,45,41,16.7,0.28,0,0
2017-02-09,45,15,15,30,5.6,0.26,2.2,2
2017-02-10,17,13,16,15,-9.5,Trace,0.3,2
2017-02-11,28,16,28,22,-2.6,0.04,0.4,2
2017-02-12,41,28,34,34.5,9.8,0.14,0,0
2017-02-13,36,25,26,30.5,5.6,0.69,4,4
2017-02-14,27,17,19,22,-3,0.01,0.2,3
2017-02-15,43,19,35,31,5.9,0.01,0,2
2017-02-16,37,18,18,27.5,2.2,0.12,2,4
2017-02-17,23,18,20,20.5,-4.9,Trace,0.5,4
2017-02-18,36,20,36,28,2.4,0,0,2
2017-02-19,64,30,32,47,21.3,0,0,0
2017-02-20,56,31,31,43.5,17.6,0,0,0
2017-02-21,40,22,32,31,4.9,0,0,0
2017-02-22,47,32,40,39.5,13.2,0.01,0,0
2017-02-23,60,40,48,50,23.5,0,0,0
2017-02-24,67,41,42,54,27.3,0,0,0
2017-02-25,73,42,62,57.5,30.6,0,0,0
2017-02-26,64,25,25,44.5,17.4,0.55,Trace,0
2017-02-27,34,24,33,29,1.7,Trace,Trace,0
2017-02-28,50,33,36,41.5,14,0.02,0,0
2017-03-01,60,35,55,47.5,19.7,0,0,0
2017-03-02,65,24,25,44.5,16.5,0.04,Trace,Trace
2017-03-03,33,12,12,22.5,-5.7,0.01,0.2,Trace
2017-03-04,27,12,12,19.5,-9,0.05,1.5,2
2017-03-05,14,-5,-5,4.5,-24.3,0.02,0.4,1
2017-03-06,30,-5,26,12.5,-16.6,0,0,Trace
2017-03-07,51,26,41,38.5,9.2,0.1,0,0
2017-03-08,53,34,35,43.5,13.9,0.52,0,0
2017-03-09,52,34,34,43,13.1,0,0,0
2017-03-10,43,27,27,35,4.8,Trace,Trace,Trace
2017-03-11,27,7,9,17,-13.6,0.06,1.2,1
2017-03-12,17,8,8,12.5,-18.4,0.04,1,1
2017-03-13,19,5,6,12,-19.2,Trace,0.3,1
2017-03-14,28,6,18,17,-14.6,0.31,3,3
2017-03-15,19,14,14,16.5,-15.4,0.71,9.8,12
2017-03-16,20,14,19,17,-15.3,0.1,2.6,13
2017-03-17,31,9,9,20,-12.6,0,0,11
2017-03-18,38,6,28,22,-11,0,0,9
2017-03-19,31,28,30,29.5,-3.9,Trace,Trace,8
2017-03-20,41,12,13,26.5,-7.3,0,0,7
2017-03-21,40,13,32,26.5,-7.7,0,0,6
2017-03-22,48,18,18,33,-1.6,0.02,0.4,4
2017-03-23,21,5,5,13,-22,Trace,Trace,3
2017-03-24,37,5,35,21,-14.4,Trace,Trace,2
2017-03-25,48,32,35,40,4.2,0.57,0,1
2017-03-26,36,33,36,34.5,-1.7,0.34,0,Trace
2017-03-27,42,36,39,39,2.4,0.12,0,0
2017-03-28,57,39,44,48,11,Trace,0,0
2017-03-29,51,32,32,41.5,4.1,0.04,0,0
2017-03-30,46,24,26,35,-2.9,0,0,0
2017-03-31,45,26,38,35.5,-2.8,0.21,0,0
2017-04-01,40,34,34,37,-1.7,0.39,0,0
2017-04-02,36,26,26,31,-8.2,0,0,0
2017-04-03,56,26,34,41,1.4,0,0,0
2017-04-04,63,34,50,48.5,8.5,0.3,0,0
2017-04-05,64,41,41,52.5,12.1,0.08,0,0
2017-04-06,52,39,46,45.5,4.6,0,0,0
2017-04-07,47,32,32,39.5,-1.8,1.2,0.4,Trace
2017-04-08,35,30,32,32.5,-9.2,0.11,Trace,Trace
2017-04-09,47,26,31,36.5,-5.6,0,0,0
2017-04-10,69,31,53,50,7.4,0,0,0
2017-04-11,79,53,55,66,23,0,0,0
2017-04-12,78,49,49,63.5,20.1,0.04,0,0
2017-04-13,54,36,36,45,1.2,0,0,0
2017-04-14,49,29,33,39,-5.2,0,0,0
2017-04-15,62,33,51,47.5,2.9,0,0,0
2017-04-16,70,51,62,60.5,15.5,0.08,0,0
2017-04-17,80,50,50,65,19.6,0.19,0,0
2017-04-18,58,35,35,46.5,0.7,0,0,0
2017-04-19,58,34,46,46,-0.2,0,0,0
2017-04-20,54,46,49,50,3.4,0.31,0,0
2017-04-21,57,44,56,50.5,3.5,1.66,0,0
2017-04-22,64,41,41,52.5,5.1,0.09,0,0
2017-04-23,46,28,35,37,-10.7,0,0,0
2017-04-24,67,32,36,49.5,1.4,0,0,0
2017-04-25,67,36,51,51.5,3,Trace,0,0
2017-04-26,61,47,53,54,5.2,0.04,0,0
2017-04-27,76,53,57,64.5,15.3,0,0,0
2017-04-28,76,54,56,65,15.5,0.1,0,0
2017-04-29,75,56,59,65.5,15.6,0,0,0
2017-04-30,61,37,43,49,-1.2,0,0,0
2017-05-01,66,43,59,54.5,3.9,0,0,0
2017-05-02,74,47,50,60.5,9.6,1.02,0,0
2017-05-03,59,44,44,51.5,0.2,0.11,0,0
2017-05-04,53,29,33,41,-10.6,0,0,0
2017-05-05,53,33,46,43,-8.9,0.3,0,0
2017-05-06,60,46,55,53,0.7,0.41,0,0
2017-05-07,55,40,40,47.5,-5.1,0.47,0,0
2017-05-08,44,35,35,39.5,-13.4,0.15,0,0
2017-05-09,48,31,34,39.5,-13.7,0,0,0
2017-05-10,54,34,38,44,-9.5,0,0,0
2017-05-11,53,34,37,43.5,-10.4,0,0,0
2017-05-12,62,37,46,49.5,-4.7,0,0,0
2017-05-13,63,46,48,54.5,0,0.18,0,0
2017-05-14,52,41,45,46.5,-8.3,0.01,0,0
2017-05-15,59,44,46,51.5,-3.6,0.34,0,0
2017-05-16,62,38,42,50,-5.5,0,0,0
2017-05-17,68,42,62,55,-0.8,0.01,0,0
2017-05-18,88,60,68,74,17.9,0,0,0
2017-05-19,89,60,66,74.5,18.1,0.09,0,0
2017-05-20,71,47,50,59,2.3,0,0,0
2017-05-21,68,45,58,56.5,-0.6,0,0,0
2017-05-22,65,51,53,58,0.6,0.01,0,0
2017-05-23,69,39,44,54,-3.7,0.22,0,0
2017-05-24,72,44,49,58,0,0,0,0
2017-05-25,73,49,56,61,2.7,0,0,0
2017-05-26,61,54,56,57.5,-1.1,0.3,0,0
2017-05-27,61,55,57,58,-1,0.04,0,0
2017-05-28,65,50,57,57.5,-1.8,0.01,0,0
2017-05-29,75,55,55,65,5.4,0.13,0,0
2017-05-30,70,55,61,62.5,2.6,0.07,0,0
2017-05-31,66,56,59,61,0.7,0.6,0,0
2017-06-01,71,45,51,58,-2.6,0.14,0,0
2017-06-02,70,40,45,55,-5.9,0,0,0
2017-06-03,64,41,45,52.5,-8.7,0,0,0
